Year,avg_math,avg_read,avg_science
2003,497.41941324228026,502.772407304038,502.9167136579573
2006,528.2880937089895,496.60139789206033,508.0174991863517
2009,529.4712996952252,495.00413697934306,508.7414547917372
2012,520.9234584157093,497.8083207142221,503.6428152573693
2018,515.9245795688767,484.2760018464445,494.7075445723119
2022,506.4096458119783,481.2951188680627,500.9221121686923
