"SECTOR","PERIOD","COFOG","UNIT_MEAS","VALUE"
"S13","1995","GF0803","SHARE","0.794182954947086"
"S13","1995","GF0804","MCHF","259.52259404"
"S13","1995","GF0804","SHARE","0.18652687272768"
"S13","1995","GF0805","MCHF","1.44799729"
"S13","1995","GF0805","SHARE","0.00104072020095571"
"S13","1995","GF0806","MCHF","0"
"S13","1995","GF0806","SHARE","0"
"S13","1995","GF09","MCHF","21904.4574094"
"S13","1995","GF09","SHARE","15.7434074458361"
"S13","1995","GF0901","MCHF","5370.90655183"
"S13","1995","GF0901","SHARE","3.86023577843494"
"S13","1995","GF0902","MCHF","8269.1860919"
"S13","1995","GF0902","SHARE","5.94331845144703"
"S13","1995","GF0903","MCHF","0"
"S13","1995","GF0903","SHARE","0"
"S13","1995","GF0904","MCHF","3904.69660085"
"S13","1995","GF0904","SHARE","2.80642557770786"
"S13","1995","GF0905","MCHF","3894.30781407"
"S13","1995","GF0905","SHARE","2.79895883703091"
"S13","1995","GF0906","MCHF","0"
"S13","1995","GF0906","SHARE","0"
"S13","1995","GF0907","MCHF","90.85069989"
"S13","1995","GF0907","SHARE","0.0652971930952214"
"S13","1995","GF0908","MCHF","374.50965086"
"S13","1995","GF0908","SHARE","0.269171608120116"
"S13","1995","GF10","MCHF","50221.40045445"
"S13","1995","GF10","SHARE","36.0956656025455"
"S13","1995","GF1001","MCHF","10966.26227281"
"S13","1995","GF1001","SHARE","7.88179008007107"
"S13","1995","GF1002","MCHF","26088.76355418"
"S13","1995","GF1002","SHARE","18.7507970051464"
"S13","1995","GF1003","MCHF","1341.15242947"
"S13","1995","GF1003","SHARE","0.963927512537162"
"S13","1995","GF1004","MCHF","1212.41104061"
"S13","1995","GF1004","SHARE","0.87139711554609"
"S13","1995","GF1005","MCHF","5769.47797862"
"S13","1995","GF1005","SHARE","4.14670132519304"
"S13","1995","GF1006","MCHF","437.249681"
"S13","1995","GF1006","SHARE","0.31426479802192"
"S13","1995","GF1007","MCHF","4371.79473186"
"S13","1995","GF1007","SHARE","3.14214337506007"
"S13","1995","GF1008","MCHF","0.64810275"
"S13","1995","GF1008","SHARE","0.000465811385751934"
"S13","1995","GF1009","MCHF","33.64066315"
"S13","1995","GF1009","SHARE","0.0241785795840483"
"S1311","1995","Total","MCHF","42645.45117536"
"S1311","1995","Total","SHARE","100"
"S1311","1995","GF01","MCHF","11296.27739483"
"S1311","1995","GF01","SHARE","26.4888213947584"
"S1311","1995","GF0101","MCHF","941.46594956"
"S1311","1995","GF0101","SHARE","2.20765855117501"
"S1311","1995","GF0102","MCHF","1334.37157402"
"S1311","1995","GF0102","SHARE","3.12898922919822"
"S1311","1995","GF0103","MCHF","1075.15425013"
"S1311","1995","GF0103","SHARE","2.52114638372313"
"S1311","1995","GF0104","MCHF","2143.2878794"
"S1311","1995","GF0104","SHARE","5.02583000139148"
"S1311","1995","GF0105","MCHF","6.08886083"
"S1311","1995","GF0105","SHARE","0.0142778670694849"
"S1311","1995","GF0106","MCHF","0"
"S1311","1995","GF0106","SHARE","0"
"S1311","1995","GF0107","MCHF","3085.8055047"
"S1311","1995","GF0107","SHARE","7.23595464381659"
"S1311","1995","GF0108","MCHF","2710.10337619"
"S1311","1995","GF0108","SHARE","6.35496471838446"
"S1311","1995","GF02","MCHF","5761.33702182"
"S1311","1995","GF02","SHARE","13.5098512573571"
"S1311","1995","GF0201","MCHF","5570.62840002"
"S1311","1995","GF0201","SHARE","13.0626555622857"
"S1311","1995","GF0202","MCHF","185.47398079"
"S1311","1995","GF0202","SHARE","0.434920901709593"
"S1311","1995","GF0203","MCHF","0"
"S1311","1995","GF0203","SHARE","0"
"S1311","1995","GF0204","MCHF","5.23464101"
"S1311","1995","GF0204","SHARE","0.0122747933618404"
"S1311","1995","GF0205","MCHF","0"
"S1311","1995","GF0205","SHARE","0"
"S1311","1995","GF03","MCHF","445.54788983"
"S1311","1995","GF03","SHARE","1.04477236739245"
